Start Time (s),End Time (s),Duration (s),Speaker
9799.48,9808.37,8.89,SPEAKER_00
9808.37,9815.86,7.49,SPEAKER_01
9815.86,9818.61,2.75,SPEAKER_00
9819.75,9823.07,3.32,SPEAKER_00
9824.71,9842.76,18.05,SPEAKER_00
9844.6,9847.86,3.26,SPEAKER_00
9848.89,9851.03,2.14,SPEAKER_00
9854.24,9939.25,85.01,SPEAKER_00
9940.0,9982.47,42.47,SPEAKER_00
9982.47,9993.02,10.55,SPEAKER_01
9987.13,9987.6,0.47,SPEAKER_00
9992.36,10014.35,21.99,SPEAKER_00
10014.97,10015.02,0.05,SPEAKER_00
10015.68,10015.97,0.29,SPEAKER_00
10016.86,10040.12,23.26,SPEAKER_00
10040.12,10043.49,3.37,SPEAKER_01
10043.1,10046.98,3.88,SPEAKER_00
10047.32,10053.45,6.13,SPEAKER_01
10053.45,10065.85,12.4,SPEAKER_00
10066.0,10069.71,3.71,SPEAKER_01
10069.71,10079.45,9.74,SPEAKER_00
10080.23,10087.97,7.74,SPEAKER_00
10088.75,10105.12,16.37,SPEAKER_00
10106.23,10107.75,1.52,SPEAKER_00
10108.85,10177.33,68.48,SPEAKER_00
10178.02,10192.83,14.81,SPEAKER_00
10193.73,10197.54,3.81,SPEAKER_00
10198.89,10200.12,1.23,SPEAKER_00
10200.73,10225.93,25.2,SPEAKER_00
10226.64,10227.58,0.94,SPEAKER_00
10228.54,10243.65,15.11,SPEAKER_00
10244.67,10255.15,10.48,SPEAKER_00
10256.2,10258.55,2.35,SPEAKER_00
10260.05,10293.76,33.71,SPEAKER_00
10295.38,10302.44,7.06,SPEAKER_00
10303.69,10312.55,8.86,SPEAKER_00
10314.54,10315.03,0.49,SPEAKER_00
10316.63,10318.98,2.35,SPEAKER_00
10319.94,10320.8,0.86,SPEAKER_00
10322.13,10332.54,10.41,SPEAKER_00
10333.72,10351.44,17.72,SPEAKER_00
10353.54,10355.63,2.09,SPEAKER_00
10356.76,10367.98,11.22,SPEAKER_00
10369.01,10388.23,19.22,SPEAKER_00
10389.18,10399.92,10.74,SPEAKER_00
10401.39,10405.9,4.51,SPEAKER_00
10405.9,10414.76,8.86,SPEAKER_01
10415.52,10416.73,1.21,SPEAKER_01
10415.58,10423.23,7.65,SPEAKER_00
10423.89,10426.98,3.09,SPEAKER_00
10428.7,10450.08,21.38,SPEAKER_00
10451.16,10453.27,2.11,SPEAKER_00
10453.94,10469.18,15.24,SPEAKER_00
10471.41,10483.69,12.28,SPEAKER_00
10484.96,10488.42,3.46,SPEAKER_00
10489.55,10489.7,0.15,SPEAKER_00
10491.42,10509.85,18.43,SPEAKER_00
10510.91,10513.43,2.52,SPEAKER_00
10514.07,10522.1,8.03,SPEAKER_00
10523.04,10568.13,45.09,SPEAKER_00
10568.73,10571.04,2.31,SPEAKER_00
10571.66,10572.78,1.12,SPEAKER_00
10572.99,10590.8,17.81,SPEAKER_01
10590.8,10595.07,4.27,SPEAKER_00
10595.25,10619.03,23.78,SPEAKER_01
10618.81,10626.17,7.36,SPEAKER_00
10619.67,10620.63,0.96,SPEAKER_01
10627.2,10631.43,4.23,SPEAKER_00
10633.73,10644.07,10.34,SPEAKER_00
10644.73,10644.76,0.03,SPEAKER_00
10644.76,10650.11,5.35,SPEAKER_01
10650.86,10683.24,32.38,SPEAKER_00
10683.24,10686.77,3.53,SPEAKER_01
10686.18,10694.53,8.35,SPEAKER_00
10694.53,10707.57,13.04,SPEAKER_01
10707.57,10707.99,0.42,SPEAKER_00
10708.67,10711.0,2.33,SPEAKER_00
10712.26,10764.53,52.27,SPEAKER_00
10765.42,10838.27,72.85,SPEAKER_00
10839.67,10840.82,1.15,SPEAKER_00
10841.98,10850.28,8.3,SPEAKER_00
10851.96,10854.08,2.12,SPEAKER_00
10854.74,10890.09,35.35,SPEAKER_00
10890.87,10911.52,20.65,SPEAKER_00
10912.57,10915.59,3.02,SPEAKER_00
10916.54,10920.64,4.1,SPEAKER_00
10922.04,10925.48,3.44,SPEAKER_00
10926.26,10940.57,14.31,SPEAKER_00
10942.12,10945.66,3.54,SPEAKER_00
10947.52,10951.11,3.59,SPEAKER_00
10953.14,10958.45,5.31,SPEAKER_00
10960.09,10968.81,8.72,SPEAKER_00
10970.23,10984.76,14.53,SPEAKER_00
10985.88,10986.77,0.89,SPEAKER_00
10988.02,11054.57,66.55,SPEAKER_00
11055.3,11056.82,1.52,SPEAKER_00
11057.75,11085.98,28.23,SPEAKER_00
11085.71,11093.94,8.23,SPEAKER_01
11093.94,11107.51,13.57,SPEAKER_00
11108.13,11109.87,1.74,SPEAKER_00
11111.86,11119.47,7.61,SPEAKER_00
11119.47,11125.03,5.56,SPEAKER_01
11125.03,11157.0,31.97,SPEAKER_00
11157.87,11163.47,5.6,SPEAKER_00
11163.47,11172.56,9.09,SPEAKER_01
11174.01,11193.47,19.46,SPEAKER_01
11193.03,11193.79,0.76,SPEAKER_00
11195.67,11241.45,45.78,SPEAKER_00
11243.47,11262.41,18.94,SPEAKER_00
11263.01,11285.44,22.43,SPEAKER_00
11286.18,11289.66,3.48,SPEAKER_00
11290.71,11303.4,12.69,SPEAKER_00
11304.76,11320.68,15.92,SPEAKER_00
11322.08,11324.32,2.24,SPEAKER_00
11325.69,11328.88,3.19,SPEAKER_00
11330.46,11338.09,7.63,SPEAKER_00
11338.85,11349.4,10.55,SPEAKER_00
11350.22,11355.79,5.57,SPEAKER_00
11356.89,11360.33,3.44,SPEAKER_00
11361.5,11371.91,10.41,SPEAKER_00
11372.87,11376.89,4.02,SPEAKER_00
11377.51,11383.92,6.41,SPEAKER_00
11385.71,11393.24,7.53,SPEAKER_00
11393.24,11397.09,3.85,SPEAKER_01
11397.09,11399.06,1.97,SPEAKER_00
11400.61,11425.47,24.86,SPEAKER_00
11425.47,11461.68,36.21,SPEAKER_01
11462.32,11476.97,14.65,SPEAKER_01
11476.97,11491.1,14.13,SPEAKER_00
11491.84,11515.02,23.18,SPEAKER_00
11516.27,11527.95,11.68,SPEAKER_00
11529.28,11560.76,31.48,SPEAKER_00
11561.97,11575.54,13.57,SPEAKER_00
11576.28,11582.41,6.13,SPEAKER_00
11583.23,11583.94,0.71,SPEAKER_00
11585.83,11591.2,5.37,SPEAKER_00
11592.01,11601.12,9.11,SPEAKER_00
11601.88,11606.15,4.27,SPEAKER_00
11608.19,11611.2,3.01,SPEAKER_00
11612.34,11620.7,8.36,SPEAKER_00
11621.59,11622.65,1.06,SPEAKER_01
11621.76,11621.98,0.22,SPEAKER_00
11623.77,11628.48,4.71,SPEAKER_01
11631.87,11681.53,49.66,SPEAKER_00
11682.29,11703.86,21.57,SPEAKER_00
11704.75,11743.71,38.96,SPEAKER_00
11745.18,11754.7,9.52,SPEAKER_00
11755.29,11763.21,7.92,SPEAKER_00
11764.5,11768.49,3.99,SPEAKER_00
11769.09,11795.44,26.35,SPEAKER_00
11796.7,11798.29,1.59,SPEAKER_00
11799.62,11810.07,10.45,SPEAKER_00
11811.23,11818.0,6.77,SPEAKER_00
11819.4,11858.52,39.12,SPEAKER_00
11859.14,11860.61,1.47,SPEAKER_00
11861.94,11863.48,1.54,SPEAKER_01
11863.39,11873.99,10.6,SPEAKER_00
11875.12,11881.26,6.14,SPEAKER_00
11882.48,11914.47,31.99,SPEAKER_00
11914.47,11929.64,15.17,SPEAKER_01
11929.64,11951.13,21.49,SPEAKER_00
11952.24,11954.74,2.5,SPEAKER_01
11956.02,11960.74,4.72,SPEAKER_01
11961.49,11966.06,4.57,SPEAKER_01
11967.02,12010.04,43.02,SPEAKER_01
12010.04,12026.42,16.38,SPEAKER_00
12027.47,12040.97,13.5,SPEAKER_00
12040.97,12046.89,5.92,SPEAKER_01
12047.11,12049.08,1.97,SPEAKER_00
12049.89,12050.28,0.39,SPEAKER_00
12051.6,12056.02,4.42,SPEAKER_00
12056.95,12058.03,1.08,SPEAKER_00
12058.72,12062.65,3.93,SPEAKER_00
12063.5,12107.13,43.63,SPEAKER_00
12107.98,12131.84,23.86,SPEAKER_00
12133.04,12137.39,4.35,SPEAKER_00
12138.57,12158.18,19.61,SPEAKER_00
12159.19,12164.68,5.49,SPEAKER_00
12166.06,12170.82,4.76,SPEAKER_00
12174.18,12177.18,3.0,SPEAKER_00
12177.94,12192.12,14.18,SPEAKER_00
12192.99,12197.57,4.58,SPEAKER_00
12198.7,12202.75,4.05,SPEAKER_00
12205.03,12220.82,15.79,SPEAKER_00
12222.04,12223.35,1.31,SPEAKER_00
12223.94,12234.91,10.97,SPEAKER_00
12235.77,12262.98,27.21,SPEAKER_00
12265.2,12266.59,1.39,SPEAKER_00
12267.53,12271.73,4.2,SPEAKER_00
12272.61,12274.35,1.74,SPEAKER_00
12275.56,12278.48,2.92,SPEAKER_00
12279.41,12280.69,1.28,SPEAKER_01
12281.18,12295.98,14.8,SPEAKER_00
12297.27,12344.18,46.91,SPEAKER_00
12346.0,12349.41,3.41,SPEAKER_00
12350.83,12355.32,4.49,SPEAKER_00
12356.02,12360.88,4.86,SPEAKER_00
12361.98,12369.34,7.36,SPEAKER_00
12370.22,12371.79,1.57,SPEAKER_01
12373.56,12383.21,9.65,SPEAKER_01
12383.87,12383.88,0.01,SPEAKER_01
12383.88,12384.53,0.65,SPEAKER_00
12385.39,12395.82,10.43,SPEAKER_00
12397.42,12423.44,26.02,SPEAKER_00
12424.44,12430.59,6.15,SPEAKER_00
12432.23,12448.04,15.81,SPEAKER_00
12449.28,12469.76,20.48,SPEAKER_00
12470.59,12474.82,4.23,SPEAKER_01
12475.58,12475.6,0.02,SPEAKER_01
12475.6,12489.07,13.47,SPEAKER_00
12490.18,12497.07,6.89,SPEAKER_01
12499.23,12528.25,29.02,SPEAKER_00
12529.33,12538.83,9.5,SPEAKER_00
12540.64,12598.37,57.73,SPEAKER_00
12599.23,12627.07,27.84,SPEAKER_00
12627.8,12631.1,3.3,SPEAKER_00
12633.97,12635.46,1.49,SPEAKER_00
12636.06,12636.1,0.04,SPEAKER_00
12636.1,12638.48,2.38,SPEAKER_01
12638.48,12647.79,9.31,SPEAKER_00
12649.02,12650.49,1.47,SPEAKER_00
12652.01,12655.81,3.8,SPEAKER_00
12657.02,12661.75,4.73,SPEAKER_00
12663.0,12671.96,8.96,SPEAKER_00
12672.84,12680.45,7.61,SPEAKER_00
12681.49,12684.7,3.21,SPEAKER_00
12685.93,12687.84,1.91,SPEAKER_00
12688.55,12705.24,16.69,SPEAKER_00
12706.48,12726.55,20.07,SPEAKER_00
12727.59,12750.9,23.31,SPEAKER_00
12751.78,12752.43,0.65,SPEAKER_00
12753.24,12776.04,22.8,SPEAKER_00
12776.92,12779.49,2.57,SPEAKER_00
12780.77,12783.65,2.88,SPEAKER_00
12784.4,12822.25,37.85,SPEAKER_00
12823.58,12823.61,0.03,SPEAKER_00
12823.61,12825.33,1.72,SPEAKER_01
12828.47,12840.89,12.42,SPEAKER_01
12831.31,12831.6,0.29,SPEAKER_00
12837.96,12838.29,0.33,SPEAKER_00
12840.89,12874.29,33.4,SPEAKER_00
12876.38,12876.87,0.49,SPEAKER_00
12878.83,12879.82,0.99,SPEAKER_00
12881.31,12894.89,13.58,SPEAKER_00
12896.04,12918.37,22.33,SPEAKER_00
12919.85,12944.81,24.96,SPEAKER_00
12945.7,12980.03,34.33,SPEAKER_00
12980.99,12986.98,5.99,SPEAKER_00
12986.98,12987.03,0.05,SPEAKER_01
12987.84,12992.11,4.27,SPEAKER_01
12991.64,12991.99,0.35,SPEAKER_00
12992.8,12997.93,5.13,SPEAKER_01
12998.54,13009.85,11.31,SPEAKER_01
13006.0,13006.27,0.27,SPEAKER_00
13009.53,13013.63,4.1,SPEAKER_00
13014.27,13047.49,33.22,SPEAKER_00
13048.95,13050.87,1.92,SPEAKER_00
13052.76,13089.82,37.06,SPEAKER_00
13091.18,13095.2,4.02,SPEAKER_00
13096.84,13138.3,41.46,SPEAKER_00
13138.03,13147.68,9.65,SPEAKER_01
13145.12,13145.47,0.35,SPEAKER_00
13147.77,13151.09,3.32,SPEAKER_00
13152.05,13153.74,1.69,SPEAKER_00
13154.57,13158.85,4.28,SPEAKER_00
13162.06,13162.31,0.25,SPEAKER_00
13163.61,13206.14,42.53,SPEAKER_00
13207.67,13213.36,5.69,SPEAKER_00
13214.29,13220.31,6.02,SPEAKER_00
13221.98,13227.26,5.28,SPEAKER_00
13228.29,13233.19,4.9,SPEAKER_01
13233.19,13237.98,4.79,SPEAKER_00
13237.98,13245.93,7.95,SPEAKER_01
13248.48,13296.15,47.67,SPEAKER_01
13298.83,13377.52,78.69,SPEAKER_01
13378.38,13405.53,27.15,SPEAKER_01
13405.53,13410.48,4.95,SPEAKER_00
13410.48,13413.21,2.73,SPEAKER_01
13413.21,13436.36,23.15,SPEAKER_00
13421.97,13422.25,0.28,SPEAKER_01
13423.94,13425.53,1.59,SPEAKER_01
13428.3,13428.48,0.18,SPEAKER_01
13436.36,13438.03,1.67,SPEAKER_01
13437.54,13504.35,66.81,SPEAKER_00
13505.94,13509.48,3.54,SPEAKER_00
13509.48,13515.57,6.09,SPEAKER_01
13516.48,13519.74,3.26,SPEAKER_01
13519.54,13532.03,12.49,SPEAKER_00
13532.03,13535.03,3.0,SPEAKER_01
13535.03,13536.84,1.81,SPEAKER_00
13537.83,13559.72,21.89,SPEAKER_00
13539.81,13541.73,1.92,SPEAKER_01
13560.48,13561.56,1.08,SPEAKER_00
13561.56,13564.26,2.7,SPEAKER_01
13565.74,13568.81,3.07,SPEAKER_00
13569.74,13592.84,23.1,SPEAKER_00
13593.64,13614.81,21.17,SPEAKER_00
13619.34,13621.68,2.34,SPEAKER_00
13623.07,13635.42,12.35,SPEAKER_00
13635.42,13640.38,4.96,SPEAKER_01
13640.38,13648.48,8.1,SPEAKER_00
13649.59,13651.57,1.98,SPEAKER_00
13652.8,13665.12,12.32,SPEAKER_00
13665.12,13668.24,3.12,SPEAKER_01
13669.32,13673.83,4.51,SPEAKER_01
13674.97,13679.97,5.0,SPEAKER_01
13679.97,13725.41,45.44,SPEAKER_00
13725.41,13727.03,1.62,SPEAKER_01
13728.96,13730.26,1.3,SPEAKER_01
13731.91,13741.97,10.06,SPEAKER_01
13740.77,13740.89,0.12,SPEAKER_00
13741.97,13755.52,13.55,SPEAKER_00
13756.63,13781.47,24.84,SPEAKER_00
13782.32,13812.96,30.64,SPEAKER_00
13814.09,13818.56,4.47,SPEAKER_01
13819.9,13841.92,22.02,SPEAKER_01
13822.61,13822.63,0.02,SPEAKER_00
13823.58,13823.91,0.33,SPEAKER_00
13841.92,13909.44,67.52,SPEAKER_00
13910.6,13914.87,4.27,SPEAKER_00
13915.75,13917.96,2.21,SPEAKER_00
13918.85,13927.83,8.98,SPEAKER_00
13928.45,13932.15,3.7,SPEAKER_00
13933.2,13935.03,1.83,SPEAKER_00
13935.76,13947.62,11.86,SPEAKER_00
13948.74,13964.23,15.49,SPEAKER_00
13965.11,13967.43,2.32,SPEAKER_00
13968.62,13974.4,5.78,SPEAKER_00
13975.16,14019.19,44.03,SPEAKER_00
14019.85,14021.32,1.47,SPEAKER_00
14022.01,14035.39,13.38,SPEAKER_00
14036.5,14038.82,2.32,SPEAKER_00
14038.82,14059.05,20.23,SPEAKER_01
14047.37,14047.93,0.56,SPEAKER_00
14060.96,14066.69,5.73,SPEAKER_01
14067.28,14070.86,3.58,SPEAKER_01
14070.86,14077.32,6.46,SPEAKER_00
14078.32,14085.71,7.39,SPEAKER_00
14088.34,14094.32,5.98,SPEAKER_00
14096.11,14105.1,8.99,SPEAKER_00
14105.78,14122.97,17.19,SPEAKER_00
14122.87,14126.33,3.46,SPEAKER_01
14127.12,14132.1,4.98,SPEAKER_01
14131.7,14152.82,21.12,SPEAKER_00
14154.24,14188.19,33.95,SPEAKER_00
14158.75,14159.17,0.42,SPEAKER_01
14189.1,14190.81,1.71,SPEAKER_00
14191.72,14199.18,7.46,SPEAKER_00
14200.5,14249.5,49.0,SPEAKER_00
14250.58,14256.42,5.84,SPEAKER_00
14257.48,14269.29,11.81,SPEAKER_00
14270.34,14275.07,4.73,SPEAKER_00
14275.83,14276.79,0.96,SPEAKER_00
14277.92,14278.53,0.61,SPEAKER_00
14280.43,14281.26,0.83,SPEAKER_00
14282.63,14289.61,6.98,SPEAKER_00
14290.76,14294.79,4.03,SPEAKER_00
14296.4,14304.12,7.72,SPEAKER_00
14305.41,14306.96,1.55,SPEAKER_00
14307.89,14309.61,1.72,SPEAKER_00
14311.09,14338.41,27.32,SPEAKER_00
14319.82,14321.37,1.55,SPEAKER_01
14339.78,14344.47,4.69,SPEAKER_00
14344.47,14350.53,6.06,SPEAKER_01
14351.36,14356.98,5.62,SPEAKER_01
14356.98,14364.91,7.93,SPEAKER_00
14366.26,14406.66,40.4,SPEAKER_00
14407.69,14446.65,38.96,SPEAKER_00
14443.46,14444.64,1.18,SPEAKER_01
14446.65,14447.21,0.56,SPEAKER_01
14448.14,14458.45,10.31,SPEAKER_01
14458.45,14495.66,37.21,SPEAKER_00
14497.11,14545.74,48.63,SPEAKER_00
14546.33,14559.44,13.11,SPEAKER_00
14561.0,14563.53,2.53,SPEAKER_00
14564.81,14567.12,2.31,SPEAKER_00
14568.44,14584.92,16.48,SPEAKER_00
14586.09,14590.58,4.49,SPEAKER_00
14591.93,14599.98,8.05,SPEAKER_00
14600.7,14612.94,12.24,SPEAKER_00
14613.56,14638.65,25.09,SPEAKER_00
14613.97,14614.44,0.47,SPEAKER_01
14639.26,14644.86,5.6,SPEAKER_01
14644.98,14653.94,8.96,SPEAKER_00
14656.07,14684.64,28.57,SPEAKER_00
14685.25,14740.88,55.63,SPEAKER_00
14741.98,14744.97,2.99,SPEAKER_00
14745.79,14765.89,20.1,SPEAKER_00
14767.9,14769.05,1.15,SPEAKER_00
14770.25,14778.89,8.64,SPEAKER_00
14780.05,14821.73,41.68,SPEAKER_00
14822.93,14856.29,33.36,SPEAKER_00
14856.29,14859.24,2.95,SPEAKER_01
14858.67,14871.48,12.81,SPEAKER_00
14871.48,14877.0,5.52,SPEAKER_01
14878.48,14881.37,2.89,SPEAKER_01
14882.01,14910.61,28.6,SPEAKER_00
14911.62,14931.17,19.55,SPEAKER_00
14933.28,14937.98,4.7,SPEAKER_00
14938.59,14942.35,3.76,SPEAKER_00
14943.23,14945.02,1.79,SPEAKER_00
14945.63,14952.77,7.14,SPEAKER_00
14953.66,14969.08,15.42,SPEAKER_00
14969.67,15000.1,30.43,SPEAKER_00
14979.53,14980.24,0.71,SPEAKER_01
15000.1,15008.08,7.98,SPEAKER_01
15008.98,15017.46,8.48,SPEAKER_01
15017.46,15017.95,0.49,SPEAKER_00
15019.14,15038.93,19.79,SPEAKER_00
15039.66,15060.83,21.17,SPEAKER_00
15062.13,15111.93,49.8,SPEAKER_00
15080.31,15081.0,0.69,SPEAKER_01
15112.77,15135.49,22.72,SPEAKER_00
15136.26,15160.29,24.03,SPEAKER_00
15161.59,15201.42,39.83,SPEAKER_00
15178.13,15178.98,0.85,SPEAKER_01
15202.08,15219.32,17.24,SPEAKER_00
15220.74,15226.93,6.19,SPEAKER_00
15226.93,15227.49,0.56,SPEAKER_01
15228.17,15231.96,3.79,SPEAKER_01
15233.11,15236.2,3.09,SPEAKER_01
15238.0,15240.97,2.97,SPEAKER_01
15243.44,15247.94,4.5,SPEAKER_00
15248.58,15274.93,26.35,SPEAKER_00
15277.73,15282.13,4.4,SPEAKER_00
15283.36,15297.32,13.96,SPEAKER_00
15298.43,15301.88,3.45,SPEAKER_00
15303.02,15321.54,18.52,SPEAKER_00
15322.28,15380.23,57.95,SPEAKER_00
15381.96,15397.42,15.46,SPEAKER_00
15398.54,15410.64,12.1,SPEAKER_00
15411.97,15426.41,14.44,SPEAKER_00
15427.68,15450.81,23.13,SPEAKER_00
15452.13,15458.88,6.75,SPEAKER_00
15459.89,15461.19,1.3,SPEAKER_00
15462.19,15476.77,14.58,SPEAKER_00
15477.88,15481.04,3.16,SPEAKER_00
15481.7,15489.07,7.37,SPEAKER_00
15490.44,15493.47,3.03,SPEAKER_00
15496.5,15514.42,17.92,SPEAKER_00
15516.61,15518.06,1.45,SPEAKER_00
15519.16,15549.87,30.71,SPEAKER_00
15550.92,15553.3,2.38,SPEAKER_00
15554.55,15557.25,2.7,SPEAKER_00
15557.8,15560.16,2.36,SPEAKER_01
15560.81,15564.03,3.22,SPEAKER_00
15565.01,15588.03,23.02,SPEAKER_00
15581.49,15581.76,0.27,SPEAKER_01
15589.07,15597.21,8.14,SPEAKER_00
15597.17,15597.19,0.02,SPEAKER_01
15598.61,15612.29,13.68,SPEAKER_01
15613.41,15614.3,0.89,SPEAKER_01
15613.52,15620.53,7.01,SPEAKER_00
15621.44,15623.43,1.99,SPEAKER_00
15624.59,15632.17,7.58,SPEAKER_00
15633.18,15648.29,15.11,SPEAKER_00
15649.53,15651.21,1.68,SPEAKER_00
15652.47,15663.15,10.68,SPEAKER_00
15664.6,15698.86,34.26,SPEAKER_00
15700.45,15701.88,1.43,SPEAKER_00
15702.66,15724.41,21.75,SPEAKER_00
15726.97,15733.79,6.82,SPEAKER_00
15733.79,15750.48,16.69,SPEAKER_01
15734.58,15734.75,0.17,SPEAKER_00
15750.48,15763.98,13.5,SPEAKER_00
15763.98,15776.13,12.15,SPEAKER_01
15773.36,15773.55,0.19,SPEAKER_00
15776.74,15777.24,0.5,SPEAKER_00
15778.38,15816.88,38.5,SPEAKER_01
15817.47,15843.04,25.57,SPEAKER_01
15843.87,15852.64,8.77,SPEAKER_01
15853.44,15859.93,6.49,SPEAKER_01
15861.18,15898.46,37.28,SPEAKER_01
15888.06,15888.62,0.56,SPEAKER_00
15899.22,15913.78,14.56,SPEAKER_01
15914.78,15920.87,6.09,SPEAKER_01
15922.25,15928.12,5.87,SPEAKER_01
15928.75,15976.52,47.77,SPEAKER_01
15978.12,15983.29,5.17,SPEAKER_01
15984.23,15991.64,7.41,SPEAKER_01
15992.99,15996.16,3.17,SPEAKER_01
15997.48,16002.07,4.59,SPEAKER_01
16002.71,16011.64,8.93,SPEAKER_01
16012.85,16020.19,7.34,SPEAKER_01
16021.54,16022.61,1.07,SPEAKER_01
16024.5,16035.65,11.15,SPEAKER_01
16036.24,16062.53,26.29,SPEAKER_01
16061.89,16062.28,0.39,SPEAKER_00
16063.48,16070.5,7.02,SPEAKER_01
16071.85,16074.26,2.41,SPEAKER_01
16075.59,16078.08,2.49,SPEAKER_01
16079.71,16086.95,7.24,SPEAKER_01
16087.74,16098.75,11.01,SPEAKER_01
16099.52,16102.54,3.02,SPEAKER_01
16104.01,16105.16,1.15,SPEAKER_01
16107.03,16110.36,3.33,SPEAKER_01
16110.96,16114.2,3.24,SPEAKER_01
16114.96,16119.71,4.75,SPEAKER_01
16121.38,16126.12,4.74,SPEAKER_01
16126.78,16133.98,7.2,SPEAKER_01
16135.6,16136.65,1.05,SPEAKER_01
16138.77,16148.63,9.86,SPEAKER_01
16149.84,16157.74,7.9,SPEAKER_01
16158.96,16172.07,13.11,SPEAKER_01
16173.15,16180.93,7.78,SPEAKER_01
16182.6,16184.08,1.48,SPEAKER_01
16184.79,16189.77,4.98,SPEAKER_01
16190.83,16193.03,2.2,SPEAKER_01
