Start Time (s),End Time (s),Duration (s),Speaker
2100.56,2111.92,11.36,SPEAKER_00
2113.05,2119.9,6.85,SPEAKER_00
2120.88,2134.35,13.47,SPEAKER_01
2134.03,2157.85,23.82,SPEAKER_00
2159.04,2160.52,1.48,SPEAKER_00
2161.7,2169.97,8.27,SPEAKER_00
2169.97,2191.54,21.57,SPEAKER_01
2187.39,2187.57,0.18,SPEAKER_00
2191.54,2207.67,16.13,SPEAKER_00
2208.48,2236.98,28.5,SPEAKER_00
2236.98,2238.43,1.45,SPEAKER_01
2239.55,2240.44,0.89,SPEAKER_01
2240.61,2250.06,9.45,SPEAKER_00
2251.21,2261.92,10.71,SPEAKER_00
2263.54,2264.17,0.63,SPEAKER_00
2266.23,2267.17,0.94,SPEAKER_00
2269.48,2271.98,2.5,SPEAKER_00
2273.99,2280.64,6.65,SPEAKER_00
2281.56,2289.61,8.05,SPEAKER_00
2291.2,2331.85,40.65,SPEAKER_00
2332.9,2334.35,1.45,SPEAKER_00
2335.16,2341.88,6.72,SPEAKER_00
2343.82,2350.74,6.92,SPEAKER_00
2351.85,2358.43,6.58,SPEAKER_00
2359.53,2401.43,41.9,SPEAKER_00
2402.09,2434.35,32.26,SPEAKER_00
2435.01,2436.78,1.77,SPEAKER_00
2438.94,2444.59,5.65,SPEAKER_00
2445.27,2476.69,31.42,SPEAKER_00
2477.42,2478.45,1.03,SPEAKER_00
2479.22,2487.98,8.76,SPEAKER_00
2487.98,2496.35,8.37,SPEAKER_01
2497.4,2505.24,7.84,SPEAKER_01
2505.9,2505.97,0.07,SPEAKER_01
2505.97,2512.26,6.29,SPEAKER_00
2513.55,2515.57,2.02,SPEAKER_00
2517.29,2562.08,44.79,SPEAKER_00
2562.08,2562.18,0.1,SPEAKER_01
2563.02,2568.3,5.28,SPEAKER_01
2568.3,2571.11,2.81,SPEAKER_00
2572.17,2573.6,1.43,SPEAKER_00
2574.67,2575.39,0.72,SPEAKER_00
2577.16,2599.27,22.11,SPEAKER_00
2600.33,2632.16,31.83,SPEAKER_00
2632.82,2634.34,1.52,SPEAKER_00
2635.48,2648.41,12.93,SPEAKER_00
2649.42,2654.47,5.05,SPEAKER_00
2655.26,2666.55,11.29,SPEAKER_00
2667.6,2669.86,2.26,SPEAKER_00
2671.17,2673.47,2.3,SPEAKER_00
2674.35,2676.44,2.09,SPEAKER_00
